date,weight
22/02/2022,96.7
23/02/2022,88.3
24/02/2022,88.2
25/02/2022,88.2
26/02/2022,88.8
27/02/2022,88.7
28/02/2022,88.6
01/03/2022,88.6
02/03/2022,88.4
03/03/2022,88.2
04/03/2022,88.3
05/03/2022,88.3
06/03/2022,88.4
07/03/2022,88.5
08/03/2022,88.6
09/03/2022,88.4
10/03/2022,88.2
12/03/2022,88.3
13/03/2022,88.3
14/03/2022,88.4
15/03/2022,88.5
16/03/2022,88.2
17/03/2022,88.3
18/03/2022,88.3
19/03/2022,88.4
20/03/2022,88.5
21/03/2022,88.5
22/03/2022,88.5
23/03/2022,88.5
24/03/2022,88.5
25/03/2022,88.5
26/03/2022,70.5
27/03/2022,88.5
28/03/2022,88.5
29/03/2022,70.5
